material,used_by,texture,product,supplier,finish,notes
limestone_rubble,CH RM.G1 RM.G2 RW1 RW2,polyhaven/coral_stone_wall,"Local limestone rubble, lime mortar, pointed flush",Carrières de Provence,"brushed, lime wash to soften",
cut_stone,D1.surround N1.surround N2.surround N3.surround N4.surround N5.surround N6.surround N7.surround N8.surround N9.surround N10.surround N11.surround N12.surround D0.surround N13.surround N14.surround N15.surround N16.surround N17.surround N18.surround D3.surround D4.surround N19.surround N20.surround FP ST1 ST2 TR ST0,polyhaven/beige_wall_001,"Sawn limestone (pierre de Rognes) 140 mm surrounds, coping and steps",Carrières de Provence,honed,
lime_white,TS TE TN TW MS ME MN KS KE KN P1 PC PB1 PB2 PB3 PB4 C0M C0T C0K C1M C1T C2T,polyhaven/white_stucco,"Lime plaster, three coats",TBD,"limewash, warm white",
canal_tiles,RT RT.genoise RM RM.genoise RK RK.genoise,polyhaven/clay_roof_tiles,"Reclaimed terracotta canal tiles, mixed batch","salvage yard, Apt",,
burgundy_stone,F0 F1 F2,polyhaven/monastery_stone_floor,"Pierre de Bourgogne flagstones 600 x 400, tumbled",TBD,"honed, sealed",
oak_beams,,polyhaven/oak_wood_planks,"Reclaimed oak beams, limewashed",salvage,,
limed_oak,C0M.B1 C0M.B2 C0M.B3 C0M.B4 C0M.B5 C0M.B6 C0M.B7 C0M.B8 C0M.B9 C0M.B10 C0M.B11 C0M.B12 C0M.B13 C0M.B14 C0M.B15 C0M.B16 C0M.B17 C0M.B18 C0M.B19 C0M.B20 C0M.B21 C0M.B22 C0M.B23 C0T.B1 C0T.B2 C0T.B3 C0T.B4 C0T.B5 C0T.B6 C0T.B7 C0T.B8 C0T.B9 C0T.B10 C0T.B11 C0K.B1 C0K.B2 C0K.B3 C0K.B4 C0K.B5 C0K.B6 C0K.B7 C0K.B8 C0K.B9 C0K.B10 C0K.B11 C0K.B12 C0K.B13 C0K.B14 C0K.B15 C1M.B1 C1M.B2 C1M.B3 C1M.B4 C1M.B5 C1M.B6 C1M.B7 C1M.B8 C1M.B9 C1M.B10 C1M.B11 C1M.B12 C1M.B13 C1M.B14 C1M.B15 C1M.B16 C1M.B17 C1M.B18 C1M.B19 C1M.B20 C1M.B21 C1M.B22 C1M.B23 C2T.B1 C2T.B2 C2T.B3 C2T.B4 C2T.B5 C2T.B6 C2T.B7 C2T.B8 C2T.B9 C2T.B10 C2T.B11,polyhaven/oak_wood_planks,"Oak beams and joists, lime-washed",local sawmill,"lime wash, brushed back",
shutter_grey,D1.shutters N1.shutters N2.shutters N3.shutters N4.shutters N5.shutters N6.shutters N8.shutters N9.shutters N11.shutters N13.shutters N14.shutters N16.shutters N18.shutters D3.shutters D4.shutters N19.shutters N20.shutters,,"Louvred pine shutters, painted",local joiner,"Farrow and Ball Light Blue, matt",
frame_white,D1 N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 D0 N13 N14 N15 N16 N17 N18 D3 D4 N19 N20 D5 D6 D7 D8 D9 D10,,"Oak windows, painted off-white",local joiner,,
steel_black,D2 K1.kick,,"Thermally broken steel screens, black",TBD,,
iron,N7.grille N10.grille N12.grille PP1 PP2 PP3 PP4 PP5 PB,,"Wrought iron posts and railings, wax finish",local smith,,
glass_double,D1.glass N1.glass N2.glass N3.glass N4.glass N5.glass D2.glass N6.glass N7.glass N8.glass N9.glass N10.glass N11.glass N12.glass N13.glass N14.glass N15.glass N16.glass N17.glass N18.glass D3.glass D4.glass N19.glass N20.glass,,Slim double glazing 4/12/4,,,
door_grey,D0.leaf D5.leaf D6.leaf D7.leaf D8.leaf D9.leaf D10.leaf K1.base,,"Oak plank doors, painted",,,
brande,RP,polyhaven/gravel,Heather brush (brande) on galvanised mesh,TBD,,
travertine,PL.coping PD,polyhaven/beige_wall_001,"Travertine coping and pool deck 600 x 400, tumbled",TBD,,
pool_tile,PL,,"Pool render, pale grey-blue",,,
pool_water,PL.water,,Water,,,
gravel,GD,polyhaven/gravel,Crushed limestone gravel 6-14 mm,local quarry,,
marble_counter,K1.counter,polyhaven/marble_01,Carrara marble 30 mm,TBD,,
brass,K1.pulls,,Aged brass,,,
white,L6 L7 L8 L9 S1 S2 S3 S4 S5 S6,,White ceramic,,,
