id,kind,host_wall,width_mm,height_mm,sill_mm,head_mm,from_wall_start_mm,clear_width_mm,clear_height_mm,rooms,mullions,frame,frame_size_mm,glazing,glass_area_m2
D1,arched_door,MS,1900,3050,0,3050,5800,860,2040,living terrace,1,frame_white,60.0,glass_double,4.65
N1,window,MS,1200,1600,800,2400,1500,1080,1480,living terrace,0,frame_white,60.0,glass_double,1.6
N2,window,MS,1450,1600,800,2400,10675,1330,1480,dining terrace,0,frame_white,60.0,glass_double,1.97
N3,window,MS,1300,1400,4400,5800,1400,1180,1280,bed1,0,frame_white,60.0,glass_double,1.51
N4,window,MS,2050,1400,4400,5800,5725,1930,1280,bed2,0,frame_white,60.0,glass_double,2.47
N5,window,MS,1200,1400,4400,5800,10800,1080,1280,bed3,0,frame_white,60.0,glass_double,1.38
D2,door,TS,3000,2600,0,2600,1750,1425,2550,hall terrace,1,steel_black,50.0,glass_double,7.12
N6,window,TS,1350,1300,4400,5700,2575,1230,1180,tower_bedroom,0,frame_white,60.0,glass_double,1.45
N7,window,TS,1300,1400,7500,8900,2600,1180,1280,study,0,frame_white,60.0,glass_double,1.51
N8,window,TW,1000,1400,900,2300,2500,880,1280,hall,0,frame_white,60.0,glass_double,1.13
N9,window,TW,1350,1300,4400,5700,2575,1230,1180,tower_bedroom,0,frame_white,60.0,glass_double,1.45
N10,window,TW,1300,1400,7500,8900,2600,1180,1280,study,0,frame_white,60.0,glass_double,1.51
N11,window,TN,1350,1300,4400,5700,2575,1230,1180,tower_bedroom,0,frame_white,60.0,glass_double,1.45
N12,window,TN,1300,1400,7500,8900,2600,1180,1280,study,0,frame_white,60.0,glass_double,1.51
D0,door,MN,1200,2400,0,2400,6150,1080,2340,living,0,frame_white,60.0,glass_double,0.0
N13,window,MN,1450,1600,800,2400,1875,1330,1480,dining,0,frame_white,60.0,glass_double,1.97
N14,window,MN,1200,1600,800,2400,10300,1080,1480,living,0,frame_white,60.0,glass_double,1.6
N15,window,MN,800,1000,4700,5700,3275,680,880,corridor,0,frame_white,60.0,glass_double,0.6
N16,window,MN,1000,1300,4400,5700,6250,880,1180,corridor,0,frame_white,60.0,glass_double,1.04
N17,window,MN,800,1000,4700,5700,9500,680,880,corridor,0,frame_white,60.0,glass_double,0.6
N18,window,ME,1000,1300,5000,6300,3000,880,1180,bed3,0,frame_white,60.0,glass_double,1.04
D3,door,KS,1850,2400,0,2400,1200,835,2340,kitchen,1,frame_white,60.0,glass_double,3.81
D4,door,KS,1850,2400,0,2400,5300,835,2340,kitchen,1,frame_white,60.0,glass_double,3.81
N19,window,KE,1000,1400,900,2300,2000,880,1280,kitchen,0,frame_white,60.0,glass_double,1.13
N20,window,KN,1200,1400,1000,2400,3650,1080,1280,kitchen,0,frame_white,60.0,glass_double,1.38
A0,arch,TE,1600,3000,0,3000,2450,1600,2200,hall living,0,,60.0,glass_double,0.0
A1,arch,P1,2000,3100,0,3100,2500,2000,2100,living dining,0,,60.0,glass_double,0.0
D5,door,ME,1000,2200,0,2200,2000,880,2140,dining kitchen,0,frame_white,60.0,glass_double,0.0
FP.hearth,arch,FP,1200,1400,0,1400,400,1200,800,,0,,60.0,glass_double,0.0
D6,door,PC,950,2100,0,2100,1200,830,2040,corridor bed1,0,frame_white,60.0,glass_double,0.0
D7,door,PC,950,2100,0,2100,6000,830,2040,corridor bed2,0,frame_white,60.0,glass_double,0.0
D8,door,PC,950,2100,0,2100,11525,830,2040,corridor bed3,0,frame_white,60.0,glass_double,0.0
D9,door,PB1,800,2100,0,2100,4000,680,2040,bed1 bath1,0,frame_white,60.0,glass_double,0.0
D10,door,PB3,800,2100,0,2100,4000,680,2040,bed2 bath2,0,frame_white,60.0,glass_double,0.0
A2,arch,TE,700,2450,3500,5950,5750,700,2100,tower_bedroom corridor,0,,60.0,glass_double,0.0
