id,level,use,area_m2,height_mm,bounded_by,glazing_m2
hall,L0,hall,42.25,3200,TS TE TN TW,8.25
living,L0,living,56.0,3200,MS P1 MN TE,7.85
dining,L0,dining,37.45,3200,MS ME MN P1,3.94
kitchen,L0,kitchen,42.5,3200,KS KE KN ME,10.12
tower_bedroom,L1,bedroom,42.25,2900,TS TE TN TW,4.35
corridor,L1,corridor,17.55,2900,PC ME MN TE,2.24
bed1,L1,bedroom,14.98,2900,MS PB1 PC TE,1.51
bath1,L1,bathroom,8.32,2900,MS PB2 PC PB1,0.0
bed2,L1,bedroom,24.56,2900,MS PB3 PC PB2,2.47
bath2,L1,bathroom,8.32,2900,MS PB4 PC PB3,0.0
bed3,L1,bedroom,15.4,2900,MS ME PC PB4,2.42
study,L2,study,42.25,2600,TS TE TN TW,4.53
terrace,L0,terrace,180.0,3200,MS TS KS,15.34
